PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,1,1,John 1,male,20.3,0,1,TKT000001,70.5,A10,S
2,0,3,John 2,male,52.3,1,3,TKT000002,33.33,,C
3,1,1,John 3,female,61.3,3,0,TKT000003,125.99,,C
4,0,3,William 4,male,50.7,1,2,TKT000004,7.43,,S
5,1,1,Olivia 5,male,36.8,1,1,TKT000005,121.05,A10,S
6,1,2,Ava 6,female,74.1,0,2,TKT000006,39.46,,C
7,1,1,Alice 7,female,75.5,1,2,TKT000007,181.09,C23,Q
8,0,3,William 8,female,18.3,1,3,TKT000008,8.84,,Q
9,0,2,Noah 9,male,79.7,2,2,TKT000009,71.65,E31,S
10,1,2,Ava 10,female,1.3,2,1,TKT000010,78.31,A10,S
11,1,1,Robert 11,female,62.5,0,1,TKT000011,50.11,C23,Q
12,0,1,James 12,male,65.5,4,3,TKT000012,75.15,,S
13,0,3,Robert 13,male,79.6,0,2,TKT000013,9.24,,S
14,0,3,Mary 14,male,6.6,4,1,TKT000014,35.09,,C
15,1,1,William 15,female,58.1,3,2,TKT000015,98.6,,C
16,1,2,Robert 16,female,5.3,1,1,TKT000016,23.64,A10,Q
17,1,1,William 17,female,23.0,4,0,TKT000017,234.65,A10,S
18,0,1,David 18,male,39.0,3,3,TKT000018,82.93,D12,S
19,0,2,Alice 19,male,5.6,0,0,TKT000019,38.82,E31,S
20,0,3,John 20,male,69.1,4,0,TKT000020,25.26,,C
21,1,2,Noah 21,female,57.6,0,0,TKT000021,60.3,,C
22,1,1,Michael 22,male,41.0,4,2,TKT000022,119.8,,Q
23,0,3,Mary 23,male,24.7,4,1,TKT000023,9.04,,C
24,1,3,Mia 24,female,28.1,0,0,TKT000024,13.79,,Q
25,1,2,James 25,female,,0,0,TKT000025,78.79,D12,S
26,0,3,Emma 26,male,,0,2,TKT000026,6.46,,S
27,0,3,Mia 27,male,62.6,1,1,TKT000027,10.41,,S
28,1,1,Liam 28,female,74.0,0,3,TKT000028,183.98,,S
29,1,1,Emma 29,female,73.6,2,0,TKT000029,214.11,D12,C
30,0,3,Olivia 30,female,54.7,2,0,TKT000030,14.14,,S
31,1,2,Liam 31,female,25.8,3,0,TKT000031,43.11,,Q
32,0,2,David 32,male,76.0,3,2,TKT000032,59.8,E31,C
33,0,3,James 33,female,34.2,0,2,TKT000033,15.53,,C
34,0,2,William 34,male,48.9,0,2,TKT000034,60.54,B45,Q
35,1,1,Michael 35,female,60.3,4,0,TKT000035,94.93,,C
36,1,3,Mia 36,female,57.7,0,3,TKT000036,29.07,,S
37,0,3,William 37,male,5.0,4,2,TKT000037,33.05,,C
38,0,3,Noah 38,female,13.6,4,3,TKT000038,14.71,,Q
39,0,2,Sophia 39,male,57.4,1,1,TKT000039,73.58,,S
40,1,2,Ava 40,female,37.8,4,3,TKT000040,43.37,A10,C
41,0,2,Michael 41,male,31.8,1,2,TKT000041,52.29,B45,C
42,0,1,Olivia 42,female,53.8,0,0,TKT000042,233.91,E31,Q
43,1,1,Noah 43,female,15.4,3,2,TKT000043,115.47,C23,S
44,1,1,Robert 44,female,5.1,1,0,TKT000044,63.72,,Q
45,1,1,Olivia 45,male,53.9,0,1,TKT000045,93.59,,C
